match_id,category,p0_final_reward,p1_final_reward,winner,margin,p0_quads_unlocked,p1_quads_unlocked,p0_wheat_planted,p0_carrot_planted,p0_tomato_planted,p0_strawberry_planted,p0_melon_planted,p1_wheat_planted,p1_carrot_planted,p1_tomato_planted,p1_strawberry_planted,p1_melon_planted,p0_fertilizer_collected,p1_fertilizer_collected,p0_total_hires,p1_total_hires,p0_wheat_sold,p0_carrot_sold,p0_tomato_sold,p0_strawberry_sold,p0_melon_sold,p0_egg_sold,p0_milk_sold,p0_wool_sold,p0_fertilizer_sold,p1_wheat_sold,p1_carrot_sold,p1_tomato_sold,p1_strawberry_sold,p1_melon_sold,p1_egg_sold,p1_milk_sold,p1_wool_sold,p1_fertilizer_sold,p0_desync,p1_desync,shops_unlocked_count,shops_list
94178524,lost_matches,69021.0,71143.0,1,2122.0,3,3,143,0,0,37,19,143,0,0,37,19,301,296,264,264,472,0,0,426,126,0,425,230,302,479,0,0,300,126,0,320,154,300,False,False,8,BAKERY|FARMERS_MARKET|FARMERS_MARKET|PIZZA_SHOP|SMOOTHIE_SHOP|PIZZA_SHOP|SMOOTHIE_SHOP|SMOOTHIE_SHOP
94179013,lost_matches,145526.0,156879.0,1,11353.0,3,3,143,0,0,37,19,127,7,0,34,20,301,306,264,277,472,0,0,426,126,0,425,230,302,1138,26,0,259,120,0,299,136,1906,False,False,8,SMOOTHIE_SHOP|ICE_CREAM_SHOP|FARMERS_MARKET|YARN_STORE|SMOOTHIE_SHOP|PIZZA_SHOP|FARMERS_MARKET|ICE_CREAM_SHOP
94179989,lost_matches,103272.0,103128.0,0,144.0,3,3,143,0,0,37,19,143,0,0,37,19,296,301,263,264,479,0,0,1075,126,0,1137,514,362,472,0,0,426,126,0,425,230,302,False,False,8,PIZZA_SHOP|SMOOTHIE_SHOP|YARN_STORE|YARN_STORE|BAKERY|ICE_CREAM_SHOP|BAKERY|PET_CAFE
94182925,lost_matches,73047.0,71302.0,0,1745.0,3,3,143,0,0,37,19,143,0,0,37,19,296,301,262,264,464,0,0,286,114,0,241,132,235,472,0,0,426,126,0,425,230,302,False,False,8,YARN_STORE|YARN_STORE|PIZZA_SHOP|PET_CAFE|ICE_CREAM_SHOP|PIZZA_SHOP|PET_CAFE|PIZZA_SHOP
94185840,lost_matches,62141.0,60219.0,0,1922.0,3,3,137,0,0,37,18,143,0,0,37,19,300,301,266,264,466,0,0,299,114,0,215,161,242,472,0,0,426,126,0,425,230,302,False,False,8,BRUNCH_SPOT|PET_CAFE|PET_CAFE|BRUNCH_SPOT|ICE_CREAM_SHOP|BRUNCH_SPOT|BRUNCH_SPOT|PIZZA_SHOP
94186793,lost_matches,75107.0,74226.0,0,881.0,3,3,143,0,0,37,19,143,0,0,37,19,300,301,264,264,481,0,0,423,126,0,425,230,302,472,0,0,426,126,0,425,230,302,False,False,8,PET_CAFE|YARN_STORE|ICE_CREAM_SHOP|BAKERY|SMOOTHIE_SHOP|SMOOTHIE_SHOP|BAKERY|YARN_STORE
94187756,lost_matches,100634.0,102084.0,1,1450.0,3,3,143,0,0,37,19,127,6,0,34,20,301,306,264,277,472,0,0,426,126,0,425,230,302,1138,15,0,254,120,0,283,132,1906,False,False,8,BRUNCH_SPOT|SMOOTHIE_SHOP|BRUNCH_SPOT|FARMERS_MARKET|FARMERS_MARKET|SMOOTHIE_SHOP|ICE_CREAM_SHOP|BAKERY
94188248,lost_matches,83976.0,64836.0,0,19140.0,4,3,128,1,0,42,12,143,0,0,37,19,340,301,277,264,1196,2,0,271,72,0,202,266,2701,472,0,0,426,126,0,425,230,302,False,False,8,YARN_STORE|BAKERY|BAKERY|SMOOTHIE_SHOP|YARN_STORE|SMOOTHIE_SHOP|PIZZA_SHOP|BRUNCH_SPOT
94188730,lost_matches,102749.0,100479.0,0,2270.0,3,3,143,0,0,37,19,143,0,0,37,19,298,301,264,264,479,0,0,336,210,0,427,194,303,472,0,0,426,126,0,425,230,302,False,False,8,ICE_CREAM_SHOP|FARMERS_MARKET|FARMERS_MARKET|PET_CAFE|PET_CAFE|SMOOTHIE_SHOP|SMOOTHIE_SHOP|SMOOTHIE_SHOP
94191160,lost_matches,93980.0,99339.0,1,5359.0,3,3,143,0,0,37,19,143,0,0,37,19,301,296,264,264,472,0,0,426,126,0,425,230,302,428,0,0,286,102,0,215,132,215,False,False,8,FARMERS_MARKET|PIZZA_SHOP|FARMERS_MARKET|FARMERS_MARKET|ICE_CREAM_SHOP|BRUNCH_SPOT|YARN_STORE|PIZZA_SHOP
