Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,16623608,"Dmitry Larko","2026-09-02 19:13:28",2945.6,2,dmitrylarko
2,16633790,curiosity,"2026-09-02 15:16:42",2932.6,2,chmffwn1
3,16714457,"Crop Dusta","2026-09-01 02:01:06",2926.4,2,rishigottumukkala
4,16622898,"sbol ball","2026-09-02 20:50:54",2904.5,2,"linearbasis,maksimkostritsya"
5,16755705,"Semyon Epanov","2026-09-03 00:31:23",2895.0,2,semyonepanov
6,16723620,3정훈,"2026-09-02 22:23:50",2894.7,2,az05192000gmailcom
7,16654266,古德拜吃,"2026-09-02 19:25:06",2894.5,2,nosaewang
8,16705139,gogogo,"2026-09-03 01:11:31",2893.9,2,huzech
9,16768043,cygn,"2026-09-03 03:24:19",2888.8,2,tfriedel
10,16655098,"Brotron Carbide","2026-09-03 03:16:18",2886.8,2,brotroncarbide
11,16792542,RB25det,"2026-09-03 01:25:57",2883.2,2,rb25det
12,16742139,ALLAI,"2026-09-03 02:10:02",2865.1,2,glorysing
13,16698308,Yuan800,"2026-09-02 09:49:58",2861.5,2,yuan800
14,16711752,"Atakan Aldemir","2026-09-02 13:55:27",2858.8,2,atakanaldemir
15,16625060,"Subin An","2026-09-02 22:51:32",2854.9,2,subinium
16,16671767,Kaileh57,"2026-09-03 02:59:21",2851.5,2,kaileh57
17,16727103,sword3522,"2026-09-03 02:37:30",2847.7,2,"qinyanqiu,sword3522"
18,16670041,tc-al,"2026-09-03 02:19:51",2845.0,2,bobmyersthesecond
19,16623990,senkin13,"2026-09-03 03:05:36",2836.5,2,senkin13
20,16756764,"Alperen Aydın","2026-09-02 16:57:01",2835.3,2,alperen5252525
21,16731186,Naru041104,"2026-09-03 05:02:12",2832.8,2,naru041104
22,16795062,"Satoshi Nguyen","2026-09-03 03:16:38",2832.8,2,satoshinguyenai
23,16713262,"Seyit kaan Gunes","2026-09-02 11:37:57",2827.6,2,seyitkaangunes
24,16665809,"Saravanan Jaichandaran","2026-09-02 17:56:43",2827.4,2,saranchandar
25,16735252,LagrangianLocomotive,"2026-09-03 00:06:08",2826.5,2,lagrangianlocomotive
26,16651244,"Knight of Favonius","2026-09-03 02:57:15",2822.9,2,ladyfaye
27,16729280,"Ryoya Tsuruoka","2026-09-02 21:55:55",2820.4,2,"irohasorange,mrooto,rahaia"
28,16762957,邪悪な暁山瑞希、ジャガイモを量産してフライドポテト市場を独占,"2026-09-02 16:00:32",2815.1,2,yinzimike
29,16656776,ShaoCharles,"2026-09-03 02:50:36",2810.2,2,shaocharles
30,16663649,"Akhil Chinta","2026-09-03 01:26:54",2810.1,2,akhilchinta1505
31,16780279,"N Divij","2026-09-02 17:41:10",2805.2,2,divijio
32,16774712,icelemon2004,"2026-09-02 13:50:54",2804.8,2,"guanghuchen,icelemon2004,mustard64"
33,16659920,vkhydras,"2026-09-02 20:00:49",2804.1,2,vickimar
