cluster_id,episodes_count,p0_win_rate,p1_win_rate,avg_player_reward,avg_margin,avg_p_wheat,avg_p_carrot,avg_p_tomato,avg_p_strawberry,avg_p_melon,avg_p_egg,avg_p_milk,avg_p_wool,avg_p_fert
Cluster_07,65,0.446,0.554,83902.0,5576.2,39.4,10.0,16.3,22.0,1.0,18.5,21.1,8.4,0.0
Cluster_01,60,0.600,0.383,84251.4,3534.1,28.4,20.9,9.0,25.3,1.0,12.7,22.0,8.4,0.0
Cluster_09,57,0.439,0.509,94452.5,5050.2,37.2,8.6,9.7,34.3,1.0,19.1,20.7,8.2,0.0
Cluster_00,52,0.481,0.519,60412.9,6938.3,29.3,31.2,9.8,16.0,1.0,18.1,10.1,10.0,0.0
Cluster_13,51,0.412,0.588,92209.7,7344.2,28.8,21.2,17.5,23.2,1.0,8.5,13.8,25.2,0.0
Cluster_11,50,0.500,0.500,87932.8,7496.4,20.1,16.1,6.8,17.0,1.0,11.0,13.8,34.4,0.0
Cluster_14,48,0.396,0.604,82474.7,6416.6,32.4,9.1,5.9,23.0,1.0,23.2,11.2,21.2,0.0
Cluster_02,46,0.478,0.522,114178.6,5006.5,25.0,7.9,11.3,24.2,1.0,6.7,27.1,23.7,0.0
Cluster_06,45,0.356,0.644,104564.3,3944.4,38.7,15.8,21.3,30.6,1.0,8.2,29.8,1.3,0.0
Cluster_05,41,0.463,0.537,91460.7,5929.0,33.3,16.7,23.7,18.9,1.0,7.0,25.6,13.6,0.0
Cluster_04,41,0.561,0.439,81122.9,4757.7,39.3,25.9,22.7,32.3,1.0,12.9,14.3,5.7,0.0
Cluster_10,38,0.395,0.605,77400.6,7662.6,25.6,39.5,17.6,24.1,1.0,4.6,16.3,9.5,0.0
Cluster_08,37,0.432,0.568,127156.2,6872.4,28.9,10.6,9.3,37.5,1.0,7.6,33.4,5.2,0.0
Cluster_03,35,0.457,0.543,76083.6,5039.4,39.6,19.9,10.9,31.5,1.0,26.0,8.5,4.1,0.0
Cluster_12,31,0.452,0.548,76326.7,5670.5,16.5,35.5,4.7,21.7,1.0,7.6,17.3,14.5,0.0
