episode_id,seat,player_name,won,reward,opponent_reward,day0_hires,total_hires,cows,sheep,geese,wheat_seeds,carrot_seeds,tomato_seeds,strawberry_seeds,melon_seeds,ne_unlock_day,sw_unlock_day,se_unlock_day,milk_sold,wool_sold,egg_sold,wheat_sold,carrot_sold,tomato_sold,strawberry_sold,melon_sold,fert_sold,pressure_wheat,pressure_carrot,pressure_tomato,pressure_strawberry,pressure_melon,pressure_egg,pressure_milk,pressure_wool,pressure_fert,cluster_id,shops_list
95554687,0,peikopon,0,97895.0,104855.0,5,277,10,4,0,127,6,2,32,20,6,11,-1,35,12,0,480,0,0,15,12,140,37,1,7,25,1,19,25,13,0,9,PIZZA_SHOP|ICE_CREAM_SHOP|SMOOTHIE_SHOP|BAKERY|BAKERY|YARN_STORE|ICE_CREAM_SHOP|BRUNCH_SPOT
95554687,1,Crop Dusta,1,104855.0,97895.0,4,295,11,3,0,147,0,0,35,13,5,8,-1,7,28,0,54,0,0,34,0,15,37,1,7,25,1,19,25,13,0,9,PIZZA_SHOP|ICE_CREAM_SHOP|SMOOTHIE_SHOP|BAKERY|BAKERY|YARN_STORE|ICE_CREAM_SHOP|BRUNCH_SPOT
95554694,0,Ryo Hasegawa,1,58793.0,50901.0,5,290,8,3,0,160,0,0,36,11,6,10,-1,36,31,0,182,0,0,61,0,53,31,19,7,31,1,13,25,1,0,1,PET_CAFE|BAKERY|SMOOTHIE_SHOP|ICE_CREAM_SHOP|BAKERY|FARMERS_MARKET|SMOOTHIE_SHOP|ICE_CREAM_SHOP
95554694,1,dunky su,0,50901.0,58793.0,5,277,10,4,0,125,5,0,42,12,6,11,-1,3,26,0,371,0,0,51,0,192,31,19,7,31,1,13,25,1,0,1,PET_CAFE|BAKERY|SMOOTHIE_SHOP|ICE_CREAM_SHOP|BAKERY|FARMERS_MARKET|SMOOTHIE_SHOP|ICE_CREAM_SHOP
95554748,0,Subramanya N,1,136899.0,126981.0,6,303,14,6,0,76,11,0,41,13,6,10,-1,24,4,0,70,6,0,81,6,22,25,13,7,31,1,7,31,13,0,8,ICE_CREAM_SHOP|YARN_STORE|ICE_CREAM_SHOP|SMOOTHIE_SHOP|PET_CAFE|BRUNCH_SPOT|PIZZA_SHOP|SMOOTHIE_SHOP
95554748,1,Izzoudine Mohamed KANTA,0,126981.0,136899.0,5,277,6,12,0,152,4,0,34,17,6,11,12,8,0,0,803,0,0,34,0,248,25,13,7,31,1,7,31,13,0,8,ICE_CREAM_SHOP|YARN_STORE|ICE_CREAM_SHOP|SMOOTHIE_SHOP|PET_CAFE|BRUNCH_SPOT|PIZZA_SHOP|SMOOTHIE_SHOP
95554751,0,Dmitry Larko,1,73944.0,73258.0,5,277,10,4,0,133,13,0,42,12,6,11,-1,1,15,0,365,0,0,44,0,192,37,25,13,31,1,19,7,13,0,3,ICE_CREAM_SHOP|PET_CAFE|BAKERY|YARN_STORE|BRUNCH_SPOT|BRUNCH_SPOT|FARMERS_MARKET|FARMERS_MARKET
95554751,1,Kostiantyn Isaienkov,0,73258.0,73944.0,5,277,10,4,0,131,12,0,42,12,6,11,-1,2,7,0,355,0,0,59,0,177,37,25,13,31,1,19,7,13,0,3,ICE_CREAM_SHOP|PET_CAFE|BAKERY|YARN_STORE|BRUNCH_SPOT|BRUNCH_SPOT|FARMERS_MARKET|FARMERS_MARKET
95556842,0,Michael Timbs,0,86351.0,96264.0,5,264,8,4,0,146,0,0,37,20,6,10,-1,46,34,0,168,0,0,61,6,59,31,25,19,25,1,13,13,13,0,13,YARN_STORE|FARMERS_MARKET|SMOOTHIE_SHOP|PET_CAFE|FARMERS_MARKET|BAKERY|BRUNCH_SPOT|PIZZA_SHOP
95556842,1,Rayk Kretzschmar,1,96264.0,86351.0,5,277,6,12,0,126,1,0,42,12,6,11,12,35,0,0,675,0,0,61,2,200,31,25,19,25,1,13,13,13,0,13,YARN_STORE|FARMERS_MARKET|SMOOTHIE_SHOP|PET_CAFE|FARMERS_MARKET|BAKERY|BRUNCH_SPOT|PIZZA_SHOP
95557003,0,DeeperNet,0,98800.0,101679.0,5,277,10,4,0,133,13,0,42,12,6,11,-1,14,11,0,371,0,0,66,0,192,19,37,1,25,1,7,19,13,0,12,ICE_CREAM_SHOP|SMOOTHIE_SHOP|PET_CAFE|YARN_STORE|BRUNCH_SPOT|PET_CAFE|ICE_CREAM_SHOP|PET_CAFE
95557003,1,James Holland,1,101679.0,98800.0,5,278,10,4,0,123,5,0,42,12,6,11,-1,3,22,0,304,0,0,26,0,123,19,37,1,25,1,7,19,13,0,12,ICE_CREAM_SHOP|SMOOTHIE_SHOP|PET_CAFE|YARN_STORE|BRUNCH_SPOT|PET_CAFE|ICE_CREAM_SHOP|PET_CAFE
95559209,0,Kostiantyn Isaienkov,0,72753.0,79692.0,5,277,10,4,0,135,14,0,34,20,6,11,-1,21,10,0,531,0,0,16,10,134,43,19,19,19,1,19,19,1,0,7,BRUNCH_SPOT|ICE_CREAM_SHOP|PET_CAFE|PIZZA_SHOP|PIZZA_SHOP|BAKERY|BAKERY|FARMERS_MARKET
95559209,1,ReCurSiON,1,79692.0,72753.0,4,262,9,4,0,143,0,0,37,20,6,10,-1,12,0,0,265,0,0,28,6,67,43,19,19,19,1,19,19,1,0,7,BRUNCH_SPOT|ICE_CREAM_SHOP|PET_CAFE|PIZZA_SHOP|PIZZA_SHOP|BAKERY|BAKERY|FARMERS_MARKET
95559233,0,Giulio Ravasio,1,143731.0,141553.0,5,278,10,4,0,123,5,0,42,12,6,11,-1,3,19,0,302,0,0,26,0,123,31,7,19,31,1,7,37,1,0,6,SMOOTHIE_SHOP|PIZZA_SHOP|SMOOTHIE_SHOP|SMOOTHIE_SHOP|ICE_CREAM_SHOP|FARMERS_MARKET|BAKERY|PIZZA_SHOP
95559233,1,Laplacenvmv,0,141553.0,143731.0,5,277,10,4,0,125,5,0,42,12,6,11,-1,5,17,0,371,0,0,33,0,195,31,7,19,31,1,7,37,1,0,6,SMOOTHIE_SHOP|PIZZA_SHOP|SMOOTHIE_SHOP|SMOOTHIE_SHOP|ICE_CREAM_SHOP|FARMERS_MARKET|BAKERY|PIZZA_SHOP
95559327,0,One-For-All,0,78202.0,88099.0,5,277,10,4,0,127,11,0,34,20,6,11,-1,28,10,0,534,0,0,20,12,133,19,13,1,19,1,7,13,49,0,11,ICE_CREAM_SHOP|BRUNCH_SPOT|PET_CAFE|YARN_STORE|YARN_STORE|YARN_STORE|ICE_CREAM_SHOP|YARN_STORE
95559327,1,JeremiahMannings,1,88099.0,78202.0,4,263,9,4,0,160,0,0,37,15,6,10,-1,18,2,0,200,0,0,47,0,117,19,13,1,19,1,7,13,49,0,11,ICE_CREAM_SHOP|BRUNCH_SPOT|PET_CAFE|YARN_STORE|YARN_STORE|YARN_STORE|ICE_CREAM_SHOP|YARN_STORE
95561632,0,Kostiantyn Isaienkov,0,70466.0,80681.0,5,277,8,4,2,135,14,0,34,20,6,11,-1,13,13,12,524,0,0,14,10,141,31,1,1,25,1,19,19,25,0,14,BRUNCH_SPOT|BAKERY|ICE_CREAM_SHOP|BAKERY|YARN_STORE|SMOOTHIE_SHOP|ICE_CREAM_SHOP|YARN_STORE
95561632,1,Ryo Hasegawa,1,80681.0,70466.0,5,290,8,4,0,156,0,0,36,11,6,10,-1,71,22,0,200,0,0,42,0,56,31,1,1,25,1,19,19,25,0,14,BRUNCH_SPOT|BAKERY|ICE_CREAM_SHOP|BAKERY|YARN_STORE|SMOOTHIE_SHOP|ICE_CREAM_SHOP|YARN_STORE
95563783,0,Alexander Shahramanyan,0,75051.0,76352.0,5,277,10,4,0,125,5,0,42,12,6,11,-1,5,17,0,371,0,0,31,0,192,49,13,19,31,1,19,19,1,0,7,BAKERY|ICE_CREAM_SHOP|FARMERS_MARKET|PIZZA_SHOP|ICE_CREAM_SHOP|FARMERS_MARKET|BRUNCH_SPOT|BAKERY
95563783,1,lucaskna,1,76352.0,75051.0,5,277,10,4,0,125,5,0,42,12,6,11,-1,0,12,0,373,0,0,62,0,57,49,13,19,31,1,19,19,1,0,7,BAKERY|ICE_CREAM_SHOP|FARMERS_MARKET|PIZZA_SHOP|ICE_CREAM_SHOP|FARMERS_MARKET|BRUNCH_SPOT|BAKERY
95563798,0,SaiKushal185,1,91411.0,91059.0,5,277,10,4,0,129,5,0,42,12,6,11,-1,3,14,0,279,0,0,106,0,57,37,1,13,19,1,19,25,13,0,7,SMOOTHIE_SHOP|PIZZA_SHOP|BAKERY|ICE_CREAM_SHOP|BAKERY|YARN_STORE|BRUNCH_SPOT|PIZZA_SHOP
95563798,1,Luan Kunyu,0,91059.0,91411.0,5,277,10,4,0,125,5,0,42,12,6,11,-1,9,17,0,359,0,0,40,0,192,37,1,13,19,1,19,25,13,0,7,SMOOTHIE_SHOP|PIZZA_SHOP|BAKERY|ICE_CREAM_SHOP|BAKERY|YARN_STORE|BRUNCH_SPOT|PIZZA_SHOP
95563800,0,ReCurSiON,0,139120.0,142888.0,4,262,9,4,0,143,0,0,37,15,6,10,-1,12,0,0,265,0,0,28,6,67,31,1,13,37,1,13,37,1,0,8,SMOOTHIE_SHOP|PIZZA_SHOP|SMOOTHIE_SHOP|ICE_CREAM_SHOP|SMOOTHIE_SHOP|BRUNCH_SPOT|PIZZA_SHOP|BRUNCH_SPOT
95563800,1,Suneeth reddy,1,142888.0,139120.0,5,277,10,4,0,129,5,0,42,12,6,11,-1,3,17,0,307,0,0,28,0,48,31,1,13,37,1,13,37,1,0,8,SMOOTHIE_SHOP|PIZZA_SHOP|SMOOTHIE_SHOP|ICE_CREAM_SHOP|SMOOTHIE_SHOP|BRUNCH_SPOT|PIZZA_SHOP|BRUNCH_SPOT
95563802,0,feel the borov,0,54021.0,55159.0,5,277,10,4,0,125,5,0,42,12,6,11,-1,8,12,0,364,0,0,66,0,192,19,37,19,7,1,1,25,13,0,10,PET_CAFE|PET_CAFE|PIZZA_SHOP|YARN_STORE|SMOOTHIE_SHOP|PET_CAFE|PIZZA_SHOP|PIZZA_SHOP
95563802,1,lucaskna,1,55159.0,54021.0,5,277,10,4,0,125,5,0,42,12,6,11,-1,3,39,0,362,0,0,54,0,58,19,37,19,7,1,1,25,13,0,10,PET_CAFE|PET_CAFE|PIZZA_SHOP|YARN_STORE|SMOOTHIE_SHOP|PET_CAFE|PIZZA_SHOP|PIZZA_SHOP
95563856,0,Suneeth reddy,1,115795.0,100857.0,5,277,6,12,0,150,3,0,34,20,6,11,12,6,0,0,572,0,0,38,0,100,19,25,13,25,1,7,13,25,0,13,SMOOTHIE_SHOP|YARN_STORE|BAKERY|SMOOTHIE_SHOP|FARMERS_MARKET|YARN_STORE|FARMERS_MARKET|PET_CAFE
95563856,1,Giulio Ravasio,0,100857.0,115795.0,5,278,10,4,0,123,5,0,42,12,6,11,-1,3,19,0,302,0,0,26,0,123,19,25,13,25,1,7,13,25,0,13,SMOOTHIE_SHOP|YARN_STORE|BAKERY|SMOOTHIE_SHOP|FARMERS_MARKET|YARN_STORE|FARMERS_MARKET|PET_CAFE
95563861,0,Victor @ Tufa Labs,1,109504.0,107045.0,5,277,10,4,0,125,5,0,42,12,6,11,-1,3,1,0,2064,0,0,37,0,135,49,19,31,31,1,7,25,1,0,6,PIZZA_SHOP|ICE_CREAM_SHOP|ICE_CREAM_SHOP|BAKERY|PIZZA_SHOP|FARMERS_MARKET|FARMERS_MARKET|FARMERS_MARKET
95563861,1,Eddy Despradel,0,107045.0,109504.0,5,277,10,4,0,133,13,0,42,12,6,11,-1,9,11,0,371,0,0,66,0,192,49,19,31,31,1,7,25,1,0,6,PIZZA_SHOP|ICE_CREAM_SHOP|ICE_CREAM_SHOP|BAKERY|PIZZA_SHOP|FARMERS_MARKET|FARMERS_MARKET|FARMERS_MARKET
95566014,0,Rayk Kretzschmar,0,107844.0,112659.0,5,277,10,4,0,125,5,0,42,12,6,11,-1,8,17,0,384,0,0,34,0,184,31,1,13,31,1,13,37,1,0,8,BRUNCH_SPOT|PIZZA_SHOP|PIZZA_SHOP|SMOOTHIE_SHOP|ICE_CREAM_SHOP|SMOOTHIE_SHOP|BAKERY|SMOOTHIE_SHOP
95566014,1,lucaskna,1,112659.0,107844.0,5,278,10,4,0,125,5,0,42,12,6,11,-1,9,12,0,294,0,0,64,0,57,31,1,13,31,1,13,37,1,0,8,BRUNCH_SPOT|PIZZA_SHOP|PIZZA_SHOP|SMOOTHIE_SHOP|ICE_CREAM_SHOP|SMOOTHIE_SHOP|BAKERY|SMOOTHIE_SHOP
95568301,0,Rayk Kretzschmar,0,94836.0,96338.0,5,277,6,12,0,145,3,0,34,17,6,11,12,8,0,0,748,0,0,31,0,251,19,19,13,13,1,7,13,37,0,11,PIZZA_SHOP|YARN_STORE|YARN_STORE|BAKERY|SMOOTHIE_SHOP|FARMERS_MARKET|PET_CAFE|YARN_STORE
95568301,1,Seb (allegedly),1,96338.0,94836.0,7,301,7,16,0,114,0,0,28,20,4,8,10,4,0,0,192,0,0,5,12,2,19,19,13,13,1,7,13,37,0,11,PIZZA_SHOP|YARN_STORE|YARN_STORE|BAKERY|SMOOTHIE_SHOP|FARMERS_MARKET|PET_CAFE|YARN_STORE
95568456,0,Izzoudine Mohamed KANTA,1,104259.0,101487.0,5,277,10,4,0,132,6,0,38,12,6,11,-1,2,16,0,435,0,0,48,0,189,31,13,13,37,1,13,19,13,0,9,FARMERS_MARKET|ICE_CREAM_SHOP|SMOOTHIE_SHOP|BAKERY|BRUNCH_SPOT|YARN_STORE|SMOOTHIE_SHOP|FARMERS_MARKET
95568456,1,Xiaowenhao404,0,101487.0,104259.0,5,277,10,4,0,127,15,0,42,12,6,11,-1,27,13,0,635,0,0,29,10,149,31,13,13,37,1,13,19,13,0,9,FARMERS_MARKET|ICE_CREAM_SHOP|SMOOTHIE_SHOP|BAKERY|BRUNCH_SPOT|YARN_STORE|SMOOTHIE_SHOP|FARMERS_MARKET
95568464,0,Seb (allegedly),0,72008.0,76890.0,7,301,10,3,0,90,0,0,30,17,4,8,-1,17,7,0,194,0,0,26,0,9,25,19,13,19,1,13,19,13,0,1,PET_CAFE|SMOOTHIE_SHOP|FARMERS_MARKET|YARN_STORE|SMOOTHIE_SHOP|BAKERY|PIZZA_SHOP|BAKERY
95568464,1,One-For-All,1,76890.0,72008.0,5,277,10,4,0,127,11,0,34,20,6,11,-1,31,11,0,473,0,0,16,1,158,25,19,13,19,1,13,19,13,0,1,PET_CAFE|SMOOTHIE_SHOP|FARMERS_MARKET|YARN_STORE|SMOOTHIE_SHOP|BAKERY|PIZZA_SHOP|BAKERY
95570587,0,Giulio Ravasio,1,62709.0,60552.0,5,278,10,4,0,123,5,0,42,12,6,11,-1,3,19,0,302,0,0,26,0,123,13,43,7,25,1,7,13,13,0,12,FARMERS_MARKET|PET_CAFE|SMOOTHIE_SHOP|PET_CAFE|BRUNCH_SPOT|PET_CAFE|SMOOTHIE_SHOP|YARN_STORE
95570587,1,Rayk Kretzschmar,0,60552.0,62709.0,5,277,10,4,0,125,5,0,42,12,6,11,-1,9,17,0,371,0,0,37,0,192,13,43,7,25,1,7,13,13,0,12,FARMERS_MARKET|PET_CAFE|SMOOTHIE_SHOP|PET_CAFE|BRUNCH_SPOT|PET_CAFE|SMOOTHIE_SHOP|YARN_STORE
95570654,0,James Holland,0,63651.0,71476.0,5,277,6,12,0,141,8,0,34,20,6,11,12,7,4,0,740,0,0,27,0,161,31,13,1,25,1,25,13,13,0,14,BRUNCH_SPOT|YARN_STORE|BAKERY|BAKERY|PET_CAFE|BRUNCH_SPOT|ICE_CREAM_SHOP|SMOOTHIE_SHOP
95570654,1,ReCurSiON,1,71476.0,63651.0,4,262,7,6,0,143,0,0,37,15,6,10,-1,12,30,0,261,0,0,28,6,67,31,13,1,25,1,25,13,13,0,14,BRUNCH_SPOT|YARN_STORE|BAKERY|BAKERY|PET_CAFE|BRUNCH_SPOT|ICE_CREAM_SHOP|SMOOTHIE_SHOP
95570655,0,lucaskna,0,63236.0,64492.0,5,278,10,4,0,125,5,0,42,12,6,11,-1,3,12,0,303,0,0,59,0,58,37,19,31,13,1,7,31,1,0,5,FARMERS_MARKET|PIZZA_SHOP|BAKERY|PIZZA_SHOP|PIZZA_SHOP|SMOOTHIE_SHOP|PIZZA_SHOP|PET_CAFE
95570655,1,Efe Can Celiksoy,1,64492.0,63236.0,5,277,10,4,0,126,16,0,42,12,6,11,-1,9,21,0,435,0,0,26,0,192,37,19,31,13,1,7,31,1,0,5,FARMERS_MARKET|PIZZA_SHOP|BAKERY|PIZZA_SHOP|PIZZA_SHOP|SMOOTHIE_SHOP|PIZZA_SHOP|PET_CAFE
95570768,0,Nat00,1,104886.0,104825.0,5,277,10,4,0,129,5,0,42,12,6,11,-1,8,16,0,364,0,0,36,0,188,37,19,25,37,1,7,19,13,0,4,PIZZA_SHOP|ICE_CREAM_SHOP|FARMERS_MARKET|BRUNCH_SPOT|FARMERS_MARKET|SMOOTHIE_SHOP|FARMERS_MARKET|YARN_STORE
95570768,1,DeeperNet,0,104825.0,104886.0,5,277,10,4,0,133,13,0,42,12,6,11,-1,12,9,0,371,0,0,66,0,192,37,19,25,37,1,7,19,13,0,4,PIZZA_SHOP|ICE_CREAM_SHOP|FARMERS_MARKET|BRUNCH_SPOT|FARMERS_MARKET|SMOOTHIE_SHOP|FARMERS_MARKET|YARN_STORE
95570769,0,Izzoudine Mohamed KANTA,1,131611.0,128622.0,5,277,10,4,0,132,6,0,38,12,6,11,-1,2,4,0,476,0,0,48,0,189,37,1,13,31,1,19,31,1,0,9,BRUNCH_SPOT|SMOOTHIE_SHOP|ICE_CREAM_SHOP|SMOOTHIE_SHOP|BRUNCH_SPOT|PIZZA_SHOP|PIZZA_SHOP|BAKERY
95570769,1,カワシギ,0,128622.0,131611.0,5,277,10,4,0,120,15,0,42,12,6,11,-1,14,2,0,463,0,0,21,10,139,37,1,13,31,1,19,31,1,0,9,BRUNCH_SPOT|SMOOTHIE_SHOP|ICE_CREAM_SHOP|SMOOTHIE_SHOP|BRUNCH_SPOT|PIZZA_SHOP|PIZZA_SHOP|BAKERY
