category,archetype,n,mean,median,min,max,gap_to_meta_mean
Milk Regime,Milk-Rich (>=3 shops),79,61888.34810126582,58751.0,26125.0,94092.0,-26220.651898734177
Milk Regime,Milk-Moderate (2 shops),29,42574.637931034486,44281.0,16545.0,58023.5,-45534.362068965514
Milk Regime,Milk-Starved (<=1 shop),12,32624.666666666668,35505.75,10640.0,41075.5,-55484.33333333333
Strawberry Regime,Strawberry-Rich (>=4 shops),88,56043.357954545456,53352.0,23375.0,94092.0,-32065.642045454544
Strawberry Regime,Strawberry-Moderate (2-3 shops),29,49733.68965517241,47256.0,10640.0,91119.5,-38375.31034482759
Strawberry Regime,Strawberry-Starved (<=1 shop),3,47082.5,52479.0,30745.0,58023.5,-41026.5
Wool Regime,Wool-Dead (0 Yarn Store),41,64070.60975609756,63281.0,32455.5,94092.0,-24038.39024390244
Wool Regime,Wool-Active (>=1 Yarn Store),79,49220.82278481012,51012.5,10640.0,90332.0,-38888.17721518988
Demand Diversity,Moderate Diversity (4-5 types),61,56214.360655737706,52479.0,20558.0,94092.0,-31894.639344262294
Demand Diversity,Concentrated Glut (<=3 types),2,54866.5,54866.5,30745.0,78988.0,-33242.5
Demand Diversity,High Diversity (>=6 types),57,52219.84210526316,52239.0,10640.0,86365.0,-35889.15789473684
