episode_id,seat,player_name,won,reward,opponent_reward,day0_hires,total_hires,cows,sheep,geese,wheat_seeds,carrot_seeds,tomato_seeds,strawberry_seeds,melon_seeds,ne_unlock_day,sw_unlock_day,se_unlock_day,milk_sold,wool_sold,egg_sold,wheat_sold,carrot_sold,tomato_sold,strawberry_sold,melon_sold,fert_sold,pressure_wheat,pressure_carrot,pressure_tomato,pressure_strawberry,pressure_melon,pressure_egg,pressure_milk,pressure_wool,pressure_fert,cluster_id,shops_list
95554687,0,peikopon,0,97895.0,104855.0,5,277,10,4,0,127,6,2,32,20,6,11,-1,324,137,0,1152,15,10,260,120,1874,37,1,7,25,1,19,25,13,0,9,PIZZA_SHOP|ICE_CREAM_SHOP|SMOOTHIE_SHOP|BAKERY|BAKERY|YARN_STORE|ICE_CREAM_SHOP|BRUNCH_SPOT
95554687,1,Crop Dusta,1,104855.0,97895.0,4,295,11,3,0,147,0,0,35,13,5,8,-1,307,75,0,511,0,0,230,78,137,37,1,7,25,1,19,25,13,0,9,PIZZA_SHOP|ICE_CREAM_SHOP|SMOOTHIE_SHOP|BAKERY|BAKERY|YARN_STORE|ICE_CREAM_SHOP|BRUNCH_SPOT
95554694,0,Ryo Hasegawa,1,58793.0,50901.0,5,290,8,3,0,160,0,0,36,11,6,10,-1,214,98,0,388,0,0,283,66,185,31,19,7,31,1,13,25,1,0,1,PET_CAFE|BAKERY|SMOOTHIE_SHOP|ICE_CREAM_SHOP|BAKERY|FARMERS_MARKET|SMOOTHIE_SHOP|ICE_CREAM_SHOP
95554694,1,dunky su,0,50901.0,58793.0,5,277,10,4,0,125,5,0,42,12,6,11,-1,279,120,0,856,11,0,274,72,2932,31,19,7,31,1,13,25,1,0,1,PET_CAFE|BAKERY|SMOOTHIE_SHOP|ICE_CREAM_SHOP|BAKERY|FARMERS_MARKET|SMOOTHIE_SHOP|ICE_CREAM_SHOP
95554748,0,Subramanya N,1,136899.0,126981.0,6,303,14,6,0,76,11,0,41,13,6,10,-1,317,147,0,178,21,0,282,53,266,25,13,7,31,1,7,31,13,0,8,ICE_CREAM_SHOP|YARN_STORE|ICE_CREAM_SHOP|SMOOTHIE_SHOP|PET_CAFE|BRUNCH_SPOT|PIZZA_SHOP|SMOOTHIE_SHOP
95554748,1,Izzoudine Mohamed KANTA,0,126981.0,136899.0,5,277,6,12,0,152,4,0,34,17,6,11,12,228,270,0,1653,4,0,226,120,2019,25,13,7,31,1,7,31,13,0,8,ICE_CREAM_SHOP|YARN_STORE|ICE_CREAM_SHOP|SMOOTHIE_SHOP|PET_CAFE|BRUNCH_SPOT|PIZZA_SHOP|SMOOTHIE_SHOP
95554751,0,Dmitry Larko,1,73944.0,73258.0,5,277,10,4,0,133,13,0,42,12,6,11,-1,280,141,0,858,11,0,285,72,2932,37,25,13,31,1,19,7,13,0,3,ICE_CREAM_SHOP|PET_CAFE|BAKERY|YARN_STORE|BRUNCH_SPOT|BRUNCH_SPOT|FARMERS_MARKET|FARMERS_MARKET
95554751,1,Kostiantyn Isaienkov,0,73258.0,73944.0,5,277,10,4,0,131,12,0,42,12,6,11,-1,279,120,0,786,9,0,281,72,2380,37,25,13,31,1,19,7,13,0,3,ICE_CREAM_SHOP|PET_CAFE|BAKERY|YARN_STORE|BRUNCH_SPOT|BRUNCH_SPOT|FARMERS_MARKET|FARMERS_MARKET
95556842,0,Michael Timbs,0,86351.0,96264.0,5,264,8,4,0,146,0,0,37,20,6,10,-1,215,132,0,433,0,0,278,102,216,31,25,19,25,1,13,13,13,0,13,YARN_STORE|FARMERS_MARKET|SMOOTHIE_SHOP|PET_CAFE|FARMERS_MARKET|BAKERY|BRUNCH_SPOT|PIZZA_SHOP
95556842,1,Rayk Kretzschmar,1,96264.0,86351.0,5,277,6,12,0,126,1,0,42,12,6,11,12,208,266,0,1196,2,0,287,72,2701,31,25,19,25,1,13,13,13,0,13,YARN_STORE|FARMERS_MARKET|SMOOTHIE_SHOP|PET_CAFE|FARMERS_MARKET|BAKERY|BRUNCH_SPOT|PIZZA_SHOP
95557003,0,DeeperNet,0,98800.0,101679.0,5,277,10,4,0,133,13,0,42,12,6,11,-1,279,158,0,856,11,0,276,72,2932,19,37,1,25,1,7,19,13,0,12,ICE_CREAM_SHOP|SMOOTHIE_SHOP|PET_CAFE|YARN_STORE|BRUNCH_SPOT|PET_CAFE|ICE_CREAM_SHOP|PET_CAFE
95557003,1,James Holland,1,101679.0,98800.0,5,278,10,4,0,123,5,0,42,12,6,11,-1,367,268,0,678,10,0,363,160,2750,19,37,1,25,1,7,19,13,0,12,ICE_CREAM_SHOP|SMOOTHIE_SHOP|PET_CAFE|YARN_STORE|BRUNCH_SPOT|PET_CAFE|ICE_CREAM_SHOP|PET_CAFE
95559209,0,Kostiantyn Isaienkov,0,72753.0,79692.0,5,277,10,4,0,135,14,0,34,20,6,11,-1,279,120,0,1142,15,0,254,120,1906,43,19,19,19,1,19,19,1,0,7,BRUNCH_SPOT|ICE_CREAM_SHOP|PET_CAFE|PIZZA_SHOP|PIZZA_SHOP|BAKERY|BAKERY|FARMERS_MARKET
95559209,1,ReCurSiON,1,79692.0,72753.0,4,262,9,4,0,143,0,0,37,20,6,10,-1,296,200,0,457,0,0,290,114,265,43,19,19,19,1,19,19,1,0,7,BRUNCH_SPOT|ICE_CREAM_SHOP|PET_CAFE|PIZZA_SHOP|PIZZA_SHOP|BAKERY|BAKERY|FARMERS_MARKET
