cluster_id,cows,sheep,geese,wheat_plots,cash_crop,cash_crop_plots,quads_unlocked,day0_crew,maint_crew,peak_crew,labor_cost,capital_cost,build_complete_day,solved_reward,reference_reward,edge_dollars,edge_pct
Cluster_07,16,6,8,8,STRAWBERRY,4,2,5,6,10,2191.0,11800,10,119143.0,85382.0,33761.0,39.5
Cluster_01,16,6,0,6,STRAWBERRY,4,2,5,4,8,826.0,9400,10,127106.0,87918.0,39188.0,44.6
Cluster_09,16,6,8,8,STRAWBERRY,4,2,5,6,10,2191.0,11800,10,120851.0,84825.0,36026.0,42.5
Cluster_00,8,6,12,7,CARROT,4,2,5,5,9,1348.0,9800,10,78410.0,38465.0,39945.0,103.8
Cluster_13,10,14,0,6,CARROT,4,2,5,5,9,1348.0,11000,10,109678.0,53976.0,55702.0,103.2
Cluster_11,10,14,0,6,CARROT,4,2,5,5,9,1348.0,11000,10,111133.0,55352.0,55781.0,100.8
Cluster_14,8,14,0,6,STRAWBERRY,4,2,5,4,8,826.0,10200,10,101825.0,42510.0,59315.0,139.5
Cluster_02,16,14,0,8,STRAWBERRY,4,2,5,6,10,2191.0,13400,10,176312.0,96858.0,79454.0,82.0
Cluster_06,16,2,4,6,STRAWBERRY,4,2,5,4,8,826.0,8600,10,127091.0,79891.0,47200.0,59.1
Cluster_05,16,14,0,8,CARROT,4,2,5,6,10,2191.0,13400,10,165120.0,93428.0,71692.0,76.7
Cluster_04,10,6,12,7,CARROT,4,2,5,5,9,1348.0,10600,10,86337.0,52185.0,34152.0,65.4
Cluster_10,10,6,4,5,CARROT,4,2,5,4,8,826.0,8200,10,121966.0,72259.0,49707.0,68.8
Cluster_08,16,4,0,5,STRAWBERRY,4,2,5,4,8,826.0,8400,10,148865.0,99713.0,49152.0,49.3
Cluster_03,8,6,12,7,STRAWBERRY,4,2,5,5,9,1348.0,9800,10,70008.0,26324.0,43684.0,165.9
Cluster_12,10,14,0,6,CARROT,4,2,5,5,9,1348.0,11000,10,149008.0,79239.0,69769.0,88.0
